,huc12,ps,corr
34104,20700110206,58427,0.9991170117936604
93225,20503061503,2549,0.9911690139517564
94636,20700110206,2434,0.9907736002189936
96302,20700100804,58427,0.9903075308478057
98736,20700100306,3136,0.9897111108069852
112521,20700100401,58427,0.9871381195152924
121062,20503010405,1720,0.9854612498695547
130070,20700100306,10603,0.9842356635067891
134603,20600050506,2549,0.9829513763204091
148344,20700100401,2434,0.980237370518124
152744,20700050801,4259,0.9789598520291868
157809,20700100306,3804,0.9773577512409312
165956,20503050406,4259,0.976035785725132
166190,20801090501,6264,0.9759473137198408
166548,20700100306,56671,0.9758273829990604
166860,20503060707,2539,0.97572280525994
174729,20801100403,2408,0.9732734432629054
175092,20600020406,1384,0.9731377333231596
182825,20700110206,55350,0.9706541327962516
183124,20503010405,1695,0.970589231690092
186235,20600020406,55710,0.9697836857181484
186739,20700110206,57029,0.9697361037415744
187198,20503061503,2403,0.96956503796725
195696,20700020205,54915,0.9687751410158332
199077,20700100306,50888,0.9676770150246627
201792,20801060501,7318,0.9667890555485168
204113,20700100401,6004,0.965979280001008
204619,20700110206,6004,0.96579358376226
205140,20700100804,6264,0.9656034266140197
206934,20700110206,8102,0.9649396089921178
212538,20700100401,55350,0.9630681090379474
215138,20600020406,2878,0.9626349034373212
218151,20700110206,55347,0.9617793662446156
219549,20700081004,58427,0.9612183180032916
224207,20700041006,8042,0.9598785466524916
224731,20700100803,56964,0.959696314207074
224876,20700110206,50561,0.9596364157597262
225295,20801090302,55276,0.959474895125066
225902,20700090704,1723,0.9592577949417834
226523,20503051007,52007,0.9590595065673444
227901,20700080103,55348,0.9585665656643904
230951,20700080803,2434,0.9575819190437562
240995,20501030704,54915,0.9564549526226608
243314,20600060402,3796,0.9562230520487406
243918,20801100102,10870,0.9559919269457332
245335,20501030704,3406,0.9555706897886964
245579,20503041204,1723,0.9554733595778744
249177,20700110206,2713,0.954372852243681
249370,20700100306,1695,0.9543092728297188
251546,20503051010,55503,0.953580229970259
253587,20700100102,2408,0.9528317334134268
254130,20700110206,7869,0.9526022002171786
254345,20503061202,3935,0.9525254827193548
255187,20801060402,1843,0.952181326406802
256752,20700030405,52019,0.9515911538640962
261597,20600031101,50292,0.9515384151160468
262936,20501050607,1010,0.9511628739230924
263792,20600030105,2378,0.9508011671730732
264538,20700100803,2434,0.950521580592776
266843,20700020205,2828,0.9496045273964431
267612,20801090302,58427,0.9493170539929098
267658,20802040501,2408,0.9492974109003104
267838,20600050506,7158,0.9492258818043621
268803,20802060201,1010,0.9489842362107851
269015,20600020204,50385,0.9489193239147048
278288,20502010709,3403,0.9468425251860576
279306,20801090302,55285,0.9465370230226487
280351,20502061103,50497,0.9461771850455948
281416,20700110203,7288,0.945876190658664
283870,20700030405,10099,0.9454960225400476
284056,20700110203,3403,0.9454303662968916
284696,20501030704,1384,0.9451186470953664
286399,20801090302,55284,0.9446380496706636
291673,20503030802,52019,0.9440574079815228
291695,20700041006,1552,0.9440461057442608
294802,20700030405,3149,0.9433372868181944
297861,20501030704,2408,0.9423173458650156
298728,20503050802,10870,0.9419570613726967
299809,20700100803,58427,0.9414680913714656
299855,20700100804,1733,0.9414514164176612
302184,20802040501,2403,0.9405265664748376
302192,20700100306,55251,0.9405236602269982
303137,20700110104,55088,0.9400840748648016
304154,20700080102,55262,0.9396381674327776
306305,20801020303,2549,0.9394343496591344
306611,20801090302,55164,0.9393571355398488
307104,20700100803,55350,0.9391164855125024
308901,20700100804,1843,0.9384867694294384
309344,20802040501,3161,0.9382960129845279
309849,20503050107,1723,0.9380702849453232
314345,20503050107,1720,0.9370587511525476
314653,20801060702,7915,0.936966032556122
315467,20503011001,2408,0.9366198135930436
315525,20801090302,10343,0.936587983124428
315826,20700100803,2490,0.9364526627583
315838,20600060402,1552,0.9364474452817454
316418,20600030105,2408,0.9361570983785468
316610,20600060401,3403,0.9360744453702464
316614,20600020406,3113,0.9360723290665822
316984,20503041204,1695,0.9359270696031406
317229,20502050607,1379,0.9358253393846504
317704,20700110206,1733,0.9356095066356742
320473,20700070304,2539,0.9344386599187304
320717,20503061204,50292,0.9343218179680848
320948,20600050508,1830,0.9342197106114778
321417,20600020204,1554,0.933991278747064
321565,20503061204,2408,0.9339317555091196
322574,20600050506,55284,0.93350521882742
323317,20600060402,8042,0.9332302645848796
323384,20700080803,54574,0.9332026805649226
323553,20503051010,1830,0.9331251978966492
324277,20600020406,6213,0.9328042950969933
324579,20801060603,7277,0.9326968283616618
324815,20600040401,1010,0.93257847380116
325469,20801050104,55348,0.9322835666095022
325667,20503030802,55233,0.9321917442109016
326660,20801100403,3406,0.931786250592208
326767,20801090501,7910,0.9317386408085896
326847,20501030704,1866,0.9316970919524908
327027,20600060402,50039,0.9316161884605466
327863,20600030703,52019,0.9312368802974386
329727,20700020302,2408,0.9304294241108524
329987,20700020205,1710,0.9303076054699352
330005,20600030105,2403,0.9302996730955488
330956,20700020802,2403,0.9300277474063255
331776,20700110206,7962,0.929807421170616
332389,20503050107,54634,0.9295313258057571
337439,20802060906,1720,0.9290131723155284
337481,20700100401,54593,0.9289912045770864
339322,20801100503,55938,0.9282338125966376
339974,20700100401,57029,0.9279440894142352
340226,20502060602,55262,0.9278351040391418
340524,20700100401,8102,0.9277111068313729
340762,20600060402,2480,0.9276358747010672
341910,20700040409,55116,0.92710475430435
343415,20801060603,2869,0.926488964832198
343420,20600050506,1832,0.9264858846811064
343522,20700030405,10751,0.9264607324081414
343633,20801090501,7909,0.9264078376430404
343864,20502010709,55262,0.9263548727384576
344216,20600060402,54915,0.9262622829753264
344551,20600020204,7763,0.9261394213414408
344597,20700030106,7158,0.9261211817319032
344688,20700110104,55087,0.926069565010864
344718,20503050802,2549,0.9260580407335424
345143,20501030704,2480,0.925887597468535
345354,20600020409,994,0.9257878547763512
346137,20600020204,2850,0.9254568234663288
346582,20700100804,2850,0.9254438057917748
347605,20600020406,3796,0.9252047391658792
355906,20700090704,1695,0.9241180576218572
355918,20801100307,50888,0.9241099099748276
356150,20700030405,10113,0.9239837366270849
356521,20502050607,54547,0.9238100290197404
357648,20503030802,3138,0.9233435920348694
359702,20801060503,599,0.9224130516715872
359728,20801040104,7158,0.9224000118104394
359756,20700100401,1382,0.9223844280716418
360457,20700110206,55349,0.9220811228370436
360817,20801090501,2594,0.9219136038933752
361967,20802040501,2709,0.9213989825001578
362678,20700020205,1552,0.9210743591612196
363644,20700040409,7948,0.9206134120085204
363974,20600060402,594,0.9204573096105676
364120,20600020207,55348,0.9203911438427982
364463,20802040501,2720,0.9202111411127234
364506,20700080803,50561,0.9201875993456032
364584,20700081003,4259,0.920154020417621
364992,20801090406,1001,0.9199657376374905
365291,20503011001,4259,0.9198373004417496
365357,20700110206,1843,0.9198075681948606
365912,20801090302,1552,0.9195459779550709
367626,20700020204,55801,0.9187710563724878
368894,20600050506,56397,0.918198465895938
368982,20600031101,1552,0.9181676765683712
369192,20700100401,55276,0.9180681606651524
369269,20700100401,7869,0.9180440020282415
369357,20801100603,56397,0.9180037713495144
370125,20503060707,2721,0.9176358629576128
370180,20700100804,1366,0.9176173893845591
370306,20700090503,1010,0.9175570423890668
372075,20700041006,1710,0.9168671990412988
374147,20700040409,55148,0.9166892452038798
376951,20700110206,8006,0.9166433082399484
377286,20700100803,50039,0.9165053797639076
378137,20801100403,10525,0.9161598756689194
378227,20600060402,2434,0.9161265050673312
379086,20600050506,55101,0.91576771673357
379729,20600020406,1830,0.9154544085593752
379757,20600020406,594,0.9154425686054192
380616,20600050506,55938,0.9150068250277946
380890,20700110206,55276,0.9148779890419074
381179,20501030704,602,0.9148058932691654
381275,20802060505,55976,0.9147618613862808
381581,20801090406,55667,0.914687019300452
381887,20700110206,55381,0.9145679507808224
382156,20600020204,52019,0.9144477934336438
382400,20700080102,55348,0.9143267027010401
383666,20700041006,2549,0.9137221205421636
384093,20801080104,2408,0.9135316582399076
384155,20600060402,2408,0.913506993491261
384850,20801090302,3393,0.9131669675546946
385469,20503061107,50292,0.912853743240934
385521,20600020406,3405,0.9128293029361854
385762,20700040102,54034,0.912695823368474
385919,20600060402,1710,0.9126152030224493
387410,20801050604,1356,0.9118818957284286
387425,20502060602,3403,0.9118756168589384
387787,20801100307,2490,0.9117133217744632
387989,20700040305,54634,0.9116197803388678
388132,20801090501,55364,0.9115445954666158
388404,20700100401,7962,0.9114117536496102
388951,20700110206,1745,0.9112784417032116
390809,20801090302,55738,0.9110899161106344
391523,20600020204,10113,0.910824523052692
391999,20801090501,10603,0.9106089781177418
392480,20700030405,55690,0.9103749518198287
393094,20700110206,54574,0.9102659285422678
393408,20802071002,2539,0.910119068105022
393825,20700080102,3403,0.9099078631976184
396935,20801100403,55503,0.90987998287153
399575,20502010709,55247,0.9097034757830724
400294,20600020406,1831,0.9095664017605216
400361,20700100804,10619,0.9095364688009197
400430,20801060403,8006,0.9094939170504166
