,total_no,year,huc,total_no_filled
0,0.0,2005,20700110206,383111177.5
1,0.0,2008,20700110206,383111177.5
2,594943778.0,2010,20700110206,594943778.0
3,568291764.0,2011,20700110206,568291764.0
4,528484710.0,2012,20700110206,528484710.0
5,550324914.0,2013,20700110206,550324914.0
6,565500096.0,2014,20700110206,565500096.0
7,483775260.0,2015,20700110206,483775260.0
8,415566274.0,2016,20700110206,415566274.0
9,320306890.0,2017,20700110206,320306890.0
10,313483730.0,2018,20700110206,313483730.0
11,256656714.0,2019,20700110206,256656714.0
12,0.0,2005,20503061503,37816289.333333336
13,0.0,2008,20503061503,37816289.333333336
14,59633110.0,2010,20503061503,59633110.0
15,57555210.0,2011,20503061503,57555210.0
16,50848900.0,2012,20503061503,50848900.0
17,52805398.0,2013,20503061503,52805398.0
18,56590704.0,2014,20503061503,56590704.0
19,56709240.0,2015,20503061503,56709240.0
20,50848628.0,2016,20503061503,50848628.0
21,40418478.0,2017,20503061503,40418478.0
22,19979774.0,2018,20503061503,19979774.0
23,8406030.0,2019,20503061503,8406030.0
24,0.0,2005,20700100804,236716163.83333334
25,0.0,2008,20700100804,236716163.83333334
26,369979726.0,2010,20700100804,369979726.0
27,351626414.0,2011,20700100804,351626414.0
28,330110010.0,2012,20700100804,330110010.0
29,345307316.0,2013,20700100804,345307316.0
30,325779990.0,2014,20700100804,325779990.0
31,285908278.0,2015,20700100804,285908278.0
32,251145052.0,2016,20700100804,251145052.0
33,207378912.0,2017,20700100804,207378912.0
34,195940718.0,2018,20700100804,195940718.0
35,177417550.0,2019,20700100804,177417550.0
36,0.0,2005,20700100306,107376391.5
37,0.0,2008,20700100306,107376391.5
38,171770890.0,2010,20700100306,171770890.0
39,175578094.0,2011,20700100306,175578094.0
40,155521362.0,2012,20700100306,155521362.0
41,159483366.0,2013,20700100306,159483366.0
42,163089766.0,2014,20700100306,163089766.0
43,145174592.0,2015,20700100306,145174592.0
44,117504266.0,2016,20700100306,117504266.0
45,68597438.0,2017,20700100306,68597438.0
46,77449146.0,2018,20700100306,77449146.0
47,54347778.0,2019,20700100306,54347778.0
48,0.0,2005,20700100401,317989737.1666667
49,0.0,2008,20700100401,317989737.1666667
50,462497416.0,2010,20700100401,462497416.0
51,445781912.0,2011,20700100401,445781912.0
52,423229084.0,2012,20700100401,423229084.0
53,463471534.0,2013,20700100401,463471534.0
54,486775662.0,2014,20700100401,486775662.0
55,411526644.0,2015,20700100401,411526644.0
56,353453088.0,2016,20700100401,353453088.0
57,277501790.0,2017,20700100401,277501790.0
58,272697508.0,2018,20700100401,272697508.0
59,218942208.0,2019,20700100401,218942208.0
60,0.0,2005,20503010405,56891978.166666664
61,0.0,2008,20503010405,56891978.166666664
62,86955976.0,2010,20503010405,86955976.0
63,83568612.0,2011,20503010405,83568612.0
64,72174014.0,2012,20503010405,72174014.0
65,78745270.0,2013,20503010405,78745270.0
66,80913684.0,2014,20503010405,80913684.0
67,88299634.0,2015,20503010405,88299634.0
68,82574526.0,2016,20503010405,82574526.0
69,47151156.0,2017,20503010405,47151156.0
70,40100130.0,2018,20503010405,40100130.0
71,22220736.0,2019,20503010405,22220736.0
72,0.0,2005,20600050506,247579973.5
73,0.0,2008,20600050506,247579973.5
74,405499266.0,2010,20600050506,405499266.0
75,379778562.0,2011,20600050506,379778562.0
76,330755496.0,2012,20600050506,330755496.0
77,346606804.0,2013,20600050506,346606804.0
78,373627784.0,2014,20600050506,373627784.0
79,301858286.0,2015,20600050506,301858286.0
80,276124834.0,2016,20600050506,276124834.0
81,229481454.0,2017,20600050506,229481454.0
82,187915174.0,2018,20600050506,187915174.0
83,139312022.0,2019,20600050506,139312022.0
84,0.0,2005,20700050801,38728165.166666664
85,0.0,2008,20700050801,38728165.166666664
86,63223614.0,2010,20700050801,63223614.0
87,62114192.0,2011,20700050801,62114192.0
88,52586592.0,2012,20700050801,52586592.0
89,56787276.0,2013,20700050801,56787276.0
90,55370710.0,2014,20700050801,55370710.0
91,51404604.0,2015,20700050801,51404604.0
92,31011264.0,2016,20700050801,31011264.0
93,28247646.0,2017,20700050801,28247646.0
94,29460522.0,2018,20700050801,29460522.0
95,34531562.0,2019,20700050801,34531562.0
96,0.0,2005,20503050406,76677712.5
97,0.0,2008,20503050406,76677712.5
98,111825760.0,2010,20503050406,111825760.0
99,104122350.0,2011,20503050406,104122350.0
100,95329930.0,2012,20503050406,95329930.0
101,105370380.0,2013,20503050406,105370380.0
102,103114216.0,2014,20503050406,103114216.0
103,105057258.0,2015,20503050406,105057258.0
104,100818240.0,2016,20503050406,100818240.0
105,74800366.0,2017,20503050406,74800366.0
106,65267926.0,2018,20503050406,65267926.0
107,54426124.0,2019,20503050406,54426124.0
108,0.0,2005,20801090501,535541833.8333333
109,0.0,2008,20801090501,535541833.8333333
110,826035640.0,2010,20801090501,826035640.0
111,795627092.0,2011,20801090501,795627092.0
112,749195552.0,2012,20801090501,749195552.0
113,822644656.0,2013,20801090501,822644656.0
114,839074628.0,2014,20801090501,839074628.0
115,669357992.0,2015,20801090501,669357992.0
116,563155156.0,2016,20801090501,563155156.0
117,416748350.0,2017,20801090501,416748350.0
118,422114114.0,2018,20801090501,422114114.0
119,322548826.0,2019,20801090501,322548826.0
120,0.0,2005,20503060707,204361397.0
121,0.0,2008,20503060707,204361397.0
122,326670508.0,2010,20503060707,326670508.0
123,347903124.0,2011,20503060707,347903124.0
124,333997058.0,2012,20503060707,333997058.0
125,278517406.0,2013,20503060707,278517406.0
126,279089738.0,2014,20503060707,279089738.0
127,229368502.0,2015,20503060707,229368502.0
128,220844828.0,2016,20503060707,220844828.0
129,159744664.0,2017,20503060707,159744664.0
130,148925148.0,2018,20503060707,148925148.0
131,127275788.0,2019,20503060707,127275788.0
132,0.0,2005,20801100403,337762608.3333333
