,feature,importance
0,of_dist,0.20238568183803315
1,lc_82,0.16807417114886003
2,lc_11,0.11080268483166777
3,lc_21,0.07413524512385831
4,lc_41,0.04360201429589086
5,lc_43,0.039549130085280916
6,za_mean,0.0289495635388417
7,lc_24,0.0283008457811994
8,u_wind_narr,0.04211833664447668
9,cl_cover_narr,0.03001380066052223
10,lc_81,0.025640292516008342
11,week,0.02704435440363393
12,lc_90,0.022450918264560984
13,areaacres,4.996596698253669e-05
14,HUC12_,1.3385776585507182e-07
15,,0.00025376717221025974
16,,3.0046777975247453e-05
17,,1.9998786170841762e-05
18,,1.8843805027860632e-06
19,,0.009704170082232321
20,,7.966848332892952e-05
21,,9.261611596914459e-05
22,,9.896763689319667e-07
23,,0.000909243437962784
24,,0.0025759506189864164
25,,3.1167203331675966e-06
26,,9.589042209878171e-07
27,,1.9543440917404075e-05
28,,0.00027152386509886084
29,,0.0033257305475258457
30,,0.0018981282039824817
31,,0.00025826000218583426
32,,5.756730678022809e-06
33,,0.01149651129211116
34,,2.4704857336215e-06
35,,2.3993822707420238e-05
36,,4.580735010076744e-05
37,,9.51359623056808e-06
38,,8.84667275095898e-07
39,,2.0821196821256433e-06
40,,1.8505911173274432e-06
41,,1.426340315360335e-06
42,,4.687874253033562e-05
43,,1.7812040771663845e-05
44,,1.529198497741624e-05
45,,1.7851759083987096e-05
46,,1.461026501062164e-06
47,,1.786283834548138e-05
48,,0.0005608327913686438
49,,1.175431983227657e-05
50,,2.2931267201356108e-05
51,,2.5977922040844767e-05
52,,9.256578631568835e-06
53,,1.6406053490968265e-05
54,,5.16191586230072e-06
55,,0.00010625716891755541
56,,8.408074165047122e-06
57,,1.002282384954474e-05
58,,8.201635404905591e-05
59,,0.00032742742000225767
60,,1.8089555797442953e-05
61,,2.777273866316175e-06
62,,8.502434750773062e-06
63,,2.026820316213425e-06
64,,2.108600438410372e-05
65,,0.0001202356238106593
66,,0.00010305124628706649
67,,0.0028586645802005707
68,,0.00112394900514225
69,,0.003659002746428287
70,,0.00014394079581014937
71,,0.0010274977024453196
72,,0.00010397960097129679
73,,7.956767681449434e-06
74,,4.709594624452116e-05
75,,3.1624751259781978e-06
76,,1.82881190109657e-05
77,,3.2073447238563227e-06
78,,5.526225180573874e-05
79,,6.091072688431351e-07
80,,4.132814619363719e-06
81,,1.1822908253161819e-05
82,,7.963465046684426e-06
83,,7.06603615687739e-06
84,,1.3750426491860582e-06
85,,0.00025694587884615017
86,,7.815931364452364e-05
87,,8.607126621461308e-06
88,,9.645992633600384e-06
89,,0.015097315508606273
90,,7.45376010297606e-07
91,,2.6741002049936396e-05
92,,1.0315520029439254e-06
93,,1.7362421063816598e-06
94,,4.074391953648015e-08
95,,4.870668437493948e-06
96,,5.356575639067799e-06
97,,2.2591398663519376e-06
98,,2.658656136078827e-07
99,,1.3280672341407104e-06
100,,4.897851024523118e-06
101,,5.962877388991268e-06
102,,0.00014917768308555902
103,,1.674366183109507e-06
104,,8.942407910984642e-05
105,,0.00026019639546496885
106,,0.0005407667557263792
107,,2.6268930483228695e-07
108,,1.717885804313655e-06
109,,7.383412615687816e-05
110,,0.0003545127097427339
111,,0.002084174574430288
112,,1.3374025861669759e-05
113,,6.33528350944216e-05
114,,2.2818132928448807e-05
115,,4.07845110799999e-06
116,,3.5488086757751626e-07
117,,3.3351388928756005e-06
118,,6.912891060771002e-06
119,,5.073181969178418e-06
120,,1.5264369044106923e-07
121,,2.4348538977165028e-06
122,,2.5155916112314927e-06
123,,9.311046876783619e-07
124,,3.818873504106781e-05
125,,4.6698907714269674e-07
126,,0.00012106589305146525
127,,4.891591121419206e-07
128,,7.607333248115066e-06
129,,1.7421027532341787e-06
130,,3.2082431285987593e-07
131,,7.951192367111589e-07
132,,1.074779941962569e-05
133,,4.218080820572553e-06
134,,1.7049010885403837e-07
135,,3.5615825085708256e-07
136,,1.3727266302385442e-06
137,,1.5444405057439273e-07
138,,1.4845973517187385e-06
139,,3.241722274982074e-07
140,,1.3664817762980789e-05
141,,6.696464306193335e-05
142,,1.8596540428679658e-06
143,,9.642021933439835e-06
144,,3.265136741610932e-06
145,,2.0591652733878363e-06
146,,1.9825097788444484e-05
147,,2.0184411724316955e-05
148,,9.553288279708504e-07
149,,1.3403792463737628e-06
150,,8.058642674904381e-08
151,,1.842645109693396e-06
152,,6.303076110214994e-07
153,,3.9652628007192006e-07
154,,2.2772816596628794e-06
155,,6.031460683231779e-07
156,,2.2845943519546854e-06
157,,4.973674875554915e-06
158,,4.260996271722227e-06
159,,7.905306887130234e-05
160,,5.541801873626198e-07
161,,4.32598507549278e-07
162,,7.07010595023828e-06
163,,9.871631307942743e-06
164,,6.1052579043598725e-06
165,,8.973328344539928e-07
166,,2.145041401728659e-06
167,,1.0663464829937639e-05
168,,1.3017002366481413e-06
169,,2.0503271898613503e-06
170,,3.014527330408385e-06
171,,1.1961544724039609e-05
172,,2.4925909464675694e-05
173,,1.3968870937120258e-06
174,,2.6107864936274728e-06
175,,2.2654245017299225e-05
176,,0.0002621642051600695
177,,7.672562253957477e-06
178,,2.3945338893793418e-05
179,,3.0116203504734156e-06
180,,1.2552569188468926e-05
181,,5.743464059741191e-05
182,,0.00015124877250773325
183,,1.8907205147463909e-06
184,,6.084348816561862e-07
185,,3.7638117466730497e-05
186,,0.00011574262731831773
187,,0.0014487537247665455
188,,0.0006890003271080271
189,,1.0567847081240098e-05
190,,6.375278519721388e-05
191,,8.60022323607448e-06
192,,5.970752647911135e-06
193,,1.6405462230556e-05
194,,0.00010368465058559833
195,,5.186917981370631e-07
196,,8.685983168282617e-05
197,,1.3780982280296444e-06
198,,2.7333900849193297e-06
199,,4.8360401538635385e-06
200,,3.0245856874673697e-05
201,,4.075646881262375e-05
202,,9.07895055815457e-06
203,,5.599854913006495e-06
204,,3.778600429050552e-06
205,,1.5132955765363126e-05
206,,1.3448127333763692e-05
207,,1.6511362788120086e-06
208,,5.027122737456493e-06
209,,2.3402553663777406e-06
210,,1.223066873628541e-05
211,,5.143209540443736e-05
212,,8.001729158646902e-05
213,,6.324890453652546e-07
214,,7.612609481647825e-06
215,,1.3552661298300276e-05
216,,1.5481965507708912e-05
217,,5.329993039484584e-06
218,,0.00012013765037609747
219,,1.4245786858821028e-06
220,,2.8330084637598804e-05
221,,7.341564408506363e-06
222,,4.5785816314244495e-07
223,,0.0005190683152121008
224,,1.0867107336078476e-06
225,,9.302331951261644e-08
226,,1.905693984088032e-05
227,,1.9340731524900525e-05
228,,2.3507212264229917e-06
229,,1.8707829580901395e-06
230,,3.1046704080165994e-07
231,,3.152215992915388e-06
232,,1.6814988496096773e-07
233,,2.1015814296784053e-07
234,,4.2017535024896734e-08
235,,2.640167267146667e-07
236,,1.1105342504801867e-05
237,,7.963264551070315e-07
238,,1.1563813337445381e-06
239,,2.420846000566833e-07
240,,6.4960702747265e-06
241,,2.4379181940996146e-06
