,feature,importance
0,of_dist,0.10709750720161519
1,lc_82,0.16683561452998572
2,lc_11,0.08282064496657528
3,lc_21,0.06682764481811615
4,lc_41,0.018389402842260667
5,lc_43,0.06183093151216011
6,za_mean,0.07583237674739185
7,lc_24,0.02830025518638348
8,u_wind_narr,0.029728104957698218
9,cl_cover_narr,0.019688354976397416
10,lc_81,0.026648039140668316
11,week,0.06885169948737647
12,lc_90,0.014645802074928929
13,areaacres,0.00011237886377015726
14,HUC12_,1.7643230149935716e-06
15,,0.001347435509115916
16,,0.001388393811162427
17,,0.00028464957653168415
18,,5.960974690380525e-06
19,,5.35823057592884e-07
20,,0.0037279787633822947
21,,0.0008963686429900662
22,,0.0032903521758140346
23,,0.00844142437884125
24,,0.019783191796498782
25,,0.0006041761499755952
26,,0.000889704003393934
27,,4.473679320706044e-05
28,,0.008950177216837805
29,,0.03031134804223873
30,,0.014077474860813071
31,,0.004493571856704947
32,,1.0390254789830275e-06
33,,0.00016358537354549995
34,,0.001726256328512974
35,,0.00042956819646934244
36,,0.002084322412637487
37,,3.202521041010594e-05
38,,7.5156066183471435e-06
39,,6.881773150720391e-06
40,,6.900123971536012e-06
41,,1.4634450988635435e-06
42,,3.251988869429173e-05
43,,2.5483940366813663e-05
44,,3.5266444189178966e-05
45,,3.5542205767595806e-05
46,,5.73623218148687e-06
47,,1.7414693328316298e-05
48,,0.0011728795249054702
49,,4.2491345535208626e-06
50,,5.517815435196961e-05
51,,2.333682832753569e-05
52,,0.0003075888200958006
53,,1.0966200290376122e-05
54,,8.291671084408072e-05
55,,0.0003154533516504444
56,,0.001492054241023549
57,,2.9722762322198132e-05
58,,0.0007908800105548562
59,,0.000885968681687419
60,,0.0003942120048831005
61,,2.795658440054584e-07
62,,0.00011708361046968808
63,,1.4429765744113893e-05
64,,0.00019379858760643293
65,,0.00025015923677124623
66,,0.0005390970304663986
67,,0.005490036756547146
68,,0.0009222103034603695
69,,0.0015301188440930127
70,,0.0002778549796982864
71,,0.002269423886747457
72,,0.0005120097797290431
73,,2.792101791492067e-05
74,,1.4931397610657374e-05
75,,2.54285465012275e-05
76,,3.531605808714867e-05
77,,3.861223923118965e-05
78,,0.00017280823627423292
79,,5.917431332859605e-06
80,,2.780751310043453e-05
81,,0.0008308946074856349
82,,9.140096052488757e-05
83,,2.0399169007109474e-05
84,,1.773751741334302e-05
85,,0.00014273325384971515
86,,5.352330483123655e-05
87,,6.765806657252408e-06
88,,8.850835687397684e-05
89,,0.008652172530484413
90,,4.990441147535955e-07
91,,0.0002655949825173578
92,,1.4500015707830992e-07
93,,2.5274176870677144e-06
94,,8.785027244877681e-07
95,,3.180541133706928e-08
96,,3.440712640697334e-05
97,,6.447803062552676e-06
98,,9.82040419009888e-07
99,,7.815453928344e-06
100,,5.437660172928336e-06
101,,4.474764600391377e-05
102,,0.00010432112126012353
103,,2.242564631888673e-06
104,,5.265519562234694e-05
105,,0.00077881232845551
106,,1.229566620520377e-05
107,,0.0
108,,1.8893218486103284e-05
109,,1.1529652334501872e-05
110,,0.0007188996875472538
111,,0.002315178607144294
112,,5.246059286476948e-05
113,,0.00013151326113215034
114,,9.225523275631402e-05
115,,2.0557884171818358e-05
116,,1.3342250609652822e-07
117,,2.4464294724394515e-05
118,,3.89760384110593e-06
119,,3.865589879496234e-06
120,,1.1466829511846776e-06
121,,2.0847457473757534e-05
122,,2.3333461602628397e-05
123,,3.3432663144965585e-06
124,,0.0006226704275002802
125,,1.4955437706703983e-05
126,,0.00029047921137489465
127,,2.0739883438567105e-05
128,,0.00012196926534587693
129,,1.6101414172526977e-05
130,,3.983541230135377e-06
131,,3.6193069992246106e-06
132,,3.1226826203662492e-06
133,,7.558198676058957e-06
134,,5.219537211345707e-06
135,,1.5810926698929946e-06
136,,1.0618104483151974e-06
137,,3.896696243361716e-07
138,,4.679422796090615e-06
139,,7.058727960139487e-09
140,,3.3793600477268494e-05
141,,0.00024268562788677453
142,,2.692154828867422e-06
143,,5.152904300619507e-05
144,,1.003412326551389e-05
145,,5.262160616209871e-05
146,,4.1696094650928556e-05
147,,3.055915662691122e-05
148,,2.0517630326534335e-05
149,,3.9778203532859136e-05
150,,2.684234269200006e-07
151,,5.750733118580036e-06
152,,1.6267047073800104e-06
153,,1.774202044153328e-06
154,,9.69476382859189e-07
155,,1.3550189163589126e-06
156,,3.200804213836255e-06
157,,0.00010594564840131928
158,,2.4009225160717406e-05
159,,0.0004322594379882637
160,,1.140915575739189e-05
161,,6.100151861610952e-06
162,,3.614646248795658e-06
163,,3.236838704496284e-05
164,,3.442271070514165e-06
165,,3.262873927370461e-06
166,,1.771682122402146e-05
167,,3.1310173575748775e-05
168,,3.303416079259544e-05
169,,1.2292682397204667e-05
170,,2.8119795489563818e-05
171,,3.2063276884556645e-05
172,,0.00017294825542558254
173,,6.952525239706418e-06
174,,8.68328008471988e-07
175,,4.289986065308479e-05
176,,0.0005635412623619761
177,,0.00012670543502493384
178,,2.3135603452149586e-05
179,,1.8602526255289447e-05
180,,0.00020575465865569807
181,,0.000255755817052593
182,,1.784261811655617e-05
183,,2.2101559156249894e-05
184,,5.130610762587952e-06
185,,0.0003186473231184782
186,,0.0001726997894895396
187,,0.0011471513555017182
188,,0.00048115412184482424
189,,1.7746966161082937e-05
190,,0.0003539421500940752
191,,1.7798619675467177e-05
192,,1.3488077720717969e-05
193,,3.7434182780279906e-05
194,,9.152203967487902e-05
195,,2.803958425085868e-08
196,,2.993223811862128e-05
197,,7.89947807781371e-06
198,,1.7718344204630834e-05
199,,1.9782081706451603e-05
200,,4.4567610961503545e-05
201,,5.3605147278566525e-05
202,,5.0278832506268765e-05
203,,8.178068990223413e-05
204,,9.561807854931795e-06
205,,1.889503166312735e-05
206,,2.506994044424039e-05
207,,8.513805116688624e-06
208,,3.0267961277184812e-05
209,,7.408484608971679e-06
210,,0.00020984756492167282
211,,0.0004400094693265833
212,,7.476777179098553e-05
213,,3.371511529194736e-05
214,,3.5067081429501185e-06
215,,3.5605289993583924e-05
216,,0.0001231611900000777
217,,3.1584972301537915e-05
218,,2.6789213334074155e-05
219,,7.157780717804634e-06
220,,0.00011420433970042832
221,,2.1057505876833938e-05
222,,1.378697873497413e-06
223,,0.0003703686523067348
224,,4.9731370522978354e-06
225,,1.9411480466608707e-06
226,,4.8647687474480904e-05
227,,0.00010847591973046038
228,,1.712415405538216e-05
229,,1.7247258045203128e-05
230,,7.541716792315977e-07
231,,1.1998284750628896e-05
232,,1.0587666450458954e-06
233,,1.2018622063805154e-06
234,,8.154145800943302e-10
235,,5.0730744202041774e-08
236,,3.192491486620047e-05
237,,1.6302391754318348e-05
238,,9.258014334263355e-06
239,,2.591753935962289e-07
240,,2.0404344176312856e-05
241,,9.400632010614453e-05
242,,6.866969756575281e-06
243,,7.007289778148849e-07
244,,1.613293042092929e-06
245,,0.0034658908413858587
246,,3.1014736311952766e-05
247,,1.039206816002498e-05
248,,1.7409430252043857e-06
249,,8.489575371111184e-05
250,,3.639791924274286e-05
251,,1.1293599642615542e-05
252,,1.1162468945431043e-06
253,,1.3530929242186448e-06
254,,4.185314347824919e-06
255,,8.331859755691711e-06
256,,1.476995641204164e-06
257,,6.085619461760399e-06
258,,2.4698533129682013e-06
259,,1.1782645268391779e-06
260,,1.4673225006519145e-06
261,,8.261795602409331e-07
262,,1.9547821081935104e-06
263,,5.686350138361125e-06
264,,1.36663272965642e-05
265,,1.723688826408675e-06
266,,4.905284789647563e-06
267,,1.621407516349652e-06
268,,4.812051326474203e-06
269,,1.6282336914928706e-07
270,,2.3627698910732974e-06
271,,1.7243890220929097e-09
272,,3.2289965710420627e-06
273,,3.627622026142914e-07
274,,2.1524698715725253e-08
275,,7.919653445942394e-08
276,,4.811896344377097e-07
277,,1.814893203028178e-06
278,,5.782900123800804e-07
279,,6.9509851609781956e-06
280,,2.3271837855619545e-05
281,,1.327220540092353e-06
282,,1.037392953682204e-05
283,,6.501478176713718e-06
284,,1.592106273772514e-05
285,,6.633887493115199e-07
286,,2.0083038714596383e-06
287,,5.641402278938245e-07
288,,4.028562277680319e-05
289,,0.00034809498346437484
290,,4.016094143167557e-05
291,,4.001111800509043e-05
292,,2.9066122235736818e-05
293,,1.7398156340152167e-05
