,features,importance
0,lc_82,0.2551239968470828
1,of_dist,0.23165898271310267
2,lc_90,0.07817995138771655
3,lc_43,0.0473106353400159
4,lc_52,0.045029195406269276
5,lc_81,0.03516822595598427
6,lc_41,0.03306561326657941
7,lc_95,0.03205684049405247
8,lc_22,0.03128241152760257
9,total Nitrogen Oxide in year,0.03125118938567946
10,lc_31,0.021390611618495713
11,areaacres,0.021379093377597372
12,precip48_narr,0.02104430789408674
13,humidity_narr,0.02040808204586142
14,week,0.019272039848013067
15,lc_42,0.018924858022761767
16,airtemp_narr,0.017387861589302507
17,windspeed_narr,0.01636510762732751
18,lc_71,0.015277074074164761
19,precip3_narr,0.008297905595691534
20,sfc_runoff,0.00012601598261231263
